article_key,title,send_date,first_record,last_record,recorded_days,income,exposure,seven_day_mature,observed_ecpm
2026-08-03|《人民日报》谈【旅游强国】：不是游客越多越好,《人民日报》谈【旅游强国】：不是游客越多越好,2026-08-03,2026-08-03,2026-08-09,7,17.28,5359,True,3.224482179511103
2026-08-06|《人民日报》解读《社会救助法》：救助不只是给钱,《人民日报》解读《社会救助法》：救助不只是给钱,2026-08-06,2026-08-06,2026-08-12,7,17.27,4894,True,3.528810788720883
2026-08-19|《人民日报》谈“土特产”：不是简单把特产卖出去,《人民日报》谈“土特产”：不是简单把特产卖出去,2026-08-19,2026-08-19,2026-08-25,7,16.92,4552,True,3.717047451669596
2026-06-30|《人民日报》讲【文化传承】：既要守住根脉，也要走进生活、走向世界,《人民日报》讲【文化传承】：既要守住根脉，也要走进生活、走向世界,2026-06-30,2026-06-30,2026-07-06,7,14.19,3558,True,3.988195615514334
2026-07-13|《人民日报》谈【文化与科技融合】：不是给传统文化套一层特效,《人民日报》谈【文化与科技融合】：不是给传统文化套一层特效,2026-07-13,2026-07-13,2026-07-19,7,13.6,2647,True,5.137891953154514
2026-07-12|《人民日报》谈【养老】：不仅仅是公益事业,《人民日报》谈【养老】：不仅仅是公益事业,2026-07-12,2026-07-12,2026-07-18,7,11.96,3028,True,3.949801849405548
2026-07-16|《人民日报》谈【乡村文化振兴】：农家书屋不能只“有书”,《人民日报》谈【乡村文化振兴】：农家书屋不能只“有书”,2026-07-16,2026-07-16,2026-07-22,7,11.9,4362,True,2.728106373223292
2026-07-27|《人民日报》谈【城市治理】：别只看“面子”,《人民日报》谈【城市治理】：别只看“面子”,2026-07-27,2026-07-27,2026-08-02,7,11.59,3484,True,3.3266360505166475
2026-07-28|《人民日报》讲【防灾救灾】：预警不能只“发出去”,《人民日报》讲【防灾救灾】：预警不能只“发出去”,2026-07-28,2026-07-28,2026-08-03,7,11.34,2301,True,4.9282920469361144
2026-07-31|《人民日报》谈【全民健身】：不是多建几个场馆,《人民日报》谈【全民健身】：不是多建几个场馆,2026-07-31,2026-07-31,2026-08-06,7,11.06,3110,True,3.5562700964630225
2026-06-03|《人民日报》这样写“公共服务均等化”：从“有没有”到“够得到”,《人民日报》这样写“公共服务均等化”：从“有没有”到“够得到”,2026-06-03,2026-06-03,2026-06-09,7,10.74,3220,True,3.3354037267080745
2026-07-26|《人民日报》谈【民生服务】：不能总等群众找政策,《人民日报》谈【民生服务】：不能总等群众找政策,2026-07-26,2026-07-26,2026-08-01,7,10.59,2216,True,4.778880866425993
2026-06-04|《人民日报》系列文章讲透“新质生产力”：从词元、农机到田间大模型,《人民日报》系列文章讲透“新质生产力”：从词元、农机到田间大模型,2026-06-04,2026-06-04,2026-06-10,7,10.1,4438,True,2.2757999098693107
2026-06-16|《人民日报》写【低空经济】：别只追风口,《人民日报》写【低空经济】：别只追风口,2026-06-16,2026-06-16,2026-06-22,7,10.03,2761,True,3.6327417602318
2026-07-09|《人民日报》谈【安全治理】：安全不是成本问题,《人民日报》谈【安全治理】：安全不是成本问题,2026-07-09,2026-07-09,2026-07-15,7,9.38,3530,True,2.6572237960339944
2026-08-31|《人民日报》谈【基层减负】：不是简单少干活,《人民日报》谈【基层减负】：不是简单少干活,2026-08-31,2026-08-31,2026-09-06,7,8.54,3423,True,2.494887525562372
2026-07-10|《人民日报》谈【营商环境】：企业不仅要进得来，也要……,《人民日报》谈【营商环境】：企业不仅要进得来，也要……,2026-07-10,2026-07-10,2026-07-16,7,7.63,956,True,7.981171548117155
2026-08-29|《人民日报》谈【基层群众议事】：从“听意见”到“见结果”的五个步骤,《人民日报》谈【基层群众议事】：从“听意见”到“见结果”的五个步骤,2026-08-29,2026-08-29,2026-09-04,7,7.21,1913,True,3.768949294302143
2026-07-25|《人民日报》谈【抓落实】：不能挑肥拣瘦,《人民日报》谈【抓落实】：不能挑肥拣瘦,2026-07-25,2026-07-25,2026-07-31,7,6.81,981,True,6.941896024464832
2026-06-12|《人民日报》讲透“反内卷”：不是反竞争,《人民日报》讲透“反内卷”：不是反竞争,2026-06-12,2026-06-12,2026-06-18,7,6.51,1941,True,3.3539412673879445
2026-06-26|《人民日报》讲【新媒体融合】：不是多开账号,《人民日报》讲【新媒体融合】：不是多开账号,2026-06-26,2026-06-26,2026-07-02,7,6.5,2379,True,2.73224043715847
2026-07-11|《人民日报》谈【知识产权】：防止“碰瓷式维权,《人民日报》谈【知识产权】：防止“碰瓷式维权,2026-07-11,2026-07-11,2026-07-17,7,6.06,1973,True,3.0714647744551447
2026-06-29|《人民日报》讲【健康中国】：不是医院越大越好,《人民日报》讲【健康中国】：不是医院越大越好,2026-06-29,2026-06-29,2026-07-05,7,5.6,1549,True,3.615235635894125
2026-08-08|《人民日报》谈【新职业】：有了“新名字”还不够,《人民日报》谈【新职业】：有了“新名字”还不够,2026-08-08,2026-08-08,2026-08-14,7,5.44,697,True,7.804878048780488
2026-08-21|《人民日报》谈《生态环境法典》：不是“多了一部法”,《人民日报》谈《生态环境法典》：不是“多了一部法”,2026-08-21,2026-08-21,2026-08-27,7,5.15,1461,True,3.5249828884325805
2026-08-12|《人民日报》谈“产业与就业协同”：发展产业不能只算产值账,《人民日报》谈“产业与就业协同”：发展产业不能只算产值账,2026-08-12,2026-08-12,2026-08-18,7,5.11,1183,True,4.319526627218935
2025-11-27|申论速提 10 分！行政执法类「必背万能金句 + 范文」考前最后一套提分秘籍！,申论速提 10 分！行政执法类「必背万能金句 + 范文」考前最后一套提分秘籍！,2025-11-27,2025-11-27,2025-12-03,7,4.87,721,True,6.754507628294036
2023-06-30|【公考热点】淄博烧烤为何火，最全分析。对城市建设，乡村振兴有借鉴意义,【公考热点】淄博烧烤为何火，最全分析。对城市建设，乡村振兴有借鉴意义,2023-06-30,2023-06-30,2023-07-06,7,4.77,182,True,26.208791208791208
2024-02-19|《人民日报》每日金句，书法手机壁纸01,《人民日报》每日金句，书法手机壁纸01,2024-02-19,2024-02-19,2024-02-25,7,4.76,2221,True,2.143178748311571
2026-06-13|《人民日报》讲透“向海图强”：不是“靠海吃海”,《人民日报》讲透“向海图强”：不是“靠海吃海”,2026-06-13,2026-06-13,2026-06-19,7,4.13,1224,True,3.3741830065359477
2026-07-14|《人民日报》谈【政绩考核】：不是考得多,《人民日报》谈【政绩考核】：不是考得多,2026-07-14,2026-07-14,2026-07-20,7,4.02,948,True,4.240506329113924
2023-03-14|2023国考省考面试热点：围炉煮茶,2023国考省考面试热点：围炉煮茶,2023-03-14,2023-03-14,2023-03-19,6,4.0,2799,True,1.429081814933905
2026-08-13|《人民日报》谈【耐心资本】：不是“多等几年”,《人民日报》谈【耐心资本】：不是“多等几年”,2026-08-13,2026-08-13,2026-08-19,7,3.96,906,True,4.370860927152318
2026-08-09|《人民日报》谈【碳达峰】：不是简单的限产减排,《人民日报》谈【碳达峰】：不是简单的限产减排,2026-08-09,2026-08-09,2026-08-15,7,3.82,641,True,5.959438377535101
2026-06-27|《人民日报》讲【现代农业】：不是只靠苦干,《人民日报》讲【现代农业】：不是只靠苦干,2026-06-27,2026-06-27,2026-07-03,7,3.75,1393,True,2.692031586503948
2026-06-24|《人民日报》讲【新型城镇化】：不仅是进城落脚,《人民日报》讲【新型城镇化】：不仅是进城落脚,2026-06-24,2026-06-24,2026-06-30,7,3.74,1711,True,2.185856224430158
2026-08-25|《人民日报》谈【带薪休假】：不是“放几天假”,《人民日报》谈【带薪休假】：不是“放几天假”,2026-08-25,2026-08-25,2026-08-31,7,3.55,783,True,4.533844189016603
2026-08-10|《人民日报》谈【农业现代化】：不能只保产量,《人民日报》谈【农业现代化】：不能只保产量,2026-08-10,2026-08-10,2026-08-16,7,3.54,1182,True,2.99492385786802
2023-03-28|国考省考申论面试素材积累：排比论据01（优秀干部、高质量发展）,国考省考申论面试素材积累：排比论据01（优秀干部、高质量发展）,2023-03-28,2023-03-28,2023-04-03,7,3.39,430,True,7.883720930232558
2023-02-25|2023年公务员考试申论热点密押预测,2023年公务员考试申论热点密押预测,2023-02-25,2023-02-25,2023-03-03,7,3.36,1743,True,1.927710843373494
2026-07-07|《人民日报》谈【未来产业】：不是各地追同一个风口,《人民日报》谈【未来产业】：不是各地追同一个风口,2026-07-07,2026-07-07,2026-07-13,7,3.34,1159,True,2.8817946505608285
2026-07-02|《人民日报》讲【正确政绩观】2：让群众看到变化，靠考核、决策和旧账闭环,《人民日报》讲【正确政绩观】2：让群众看到变化，靠考核、决策和旧账闭环,2026-07-02,2026-07-02,2026-07-08,7,3.01,1110,True,2.7117117117117115
2023-02-14|早上好！2023人民日报金句摘抄037| 公考必背、申论晨读素材、结构化面试热点,早上好！2023人民日报金句摘抄037| 公考必背、申论晨读素材、结构化面试热点,2023-02-14,2023-02-14,2023-02-18,5,2.82,1138,True,2.4780316344463973
2026-07-23|《人民日报》谈【农业社会化服务】：不是把地“交出去”,《人民日报》谈【农业社会化服务】：不是把地“交出去”,2026-07-23,2026-07-23,2026-07-29,7,2.74,1040,True,2.6346153846153846
2025-06-19|此生尽兴，赤诚善良（给宝宝的第一封信）,此生尽兴，赤诚善良（给宝宝的第一封信）,2025-06-19,2025-06-19,2025-06-25,5,2.72,184,True,14.782608695652174
2026-08-20|《人民日报》谈【票根经济】：不是赛后发优惠券,《人民日报》谈【票根经济】：不是赛后发优惠券,2026-08-20,2026-08-20,2026-08-26,7,2.7,980,True,2.7551020408163267
2026-07-03|30｜《人民日报》讲【共同富裕】：不是平均用力,30｜《人民日报》讲【共同富裕】：不是平均用力,2026-07-03,2026-07-03,2026-07-09,7,2.56,861,True,2.9732868757259
2023-02-12|早上好！2023人民日报金句摘抄035 | 公考必背、申论晨读素材、结构化面试热点,早上好！2023人民日报金句摘抄035 | 公考必背、申论晨读素材、结构化面试热点,2023-02-12,2023-02-12,2023-02-18,7,2.54,555,True,4.576576576576577
2026-06-02|申论写基础设施，别只会写“修路架桥”：《人民日报》讲的是“六张网”,申论写基础设施，别只会写“修路架桥”：《人民日报》讲的是“六张网”,2026-06-02,2026-06-02,2026-06-08,7,2.48,636,True,3.89937106918239
2026-08-02|《人民日报》谈【网络消费治理】：商家写了“概不退款”，不等于可以免责,《人民日报》谈【网络消费治理】：商家写了“概不退款”，不等于可以免责,2026-08-02,2026-08-02,2026-08-08,7,2.47,377,True,6.551724137931035
2024-08-11|我的父亲,我的父亲,2024-08-11,2024-08-11,2024-08-17,7,2.46,885,True,2.7796610169491527
2026-08-27|《人民日报》用164篇文章讲透【政绩观】：从“想干事”到“干成正确的事”,《人民日报》用164篇文章讲透【政绩观】：从“想干事”到“干成正确的事”,2026-08-27,2026-08-27,2026-08-27,1,2.4,863,True,2.7809965237543453
2023-03-16|2023国考省考面试热点02：躺平式干部,2023国考省考面试热点02：躺平式干部,2023-03-16,2023-03-16,2023-03-22,6,2.24,1322,True,1.6944024205748864
2026-06-19|写给7岁的你：爸爸想跟你聊几件事,写给7岁的你：爸爸想跟你聊几件事,2026-06-19,2026-06-19,2026-06-25,7,2.24,483,True,4.63768115942029
2026-06-22|《人民日报》讲【大国向西】：不纯是“补短板”,《人民日报》讲【大国向西】：不纯是“补短板”,2026-06-22,2026-06-22,2026-06-28,7,2.23,887,True,2.5140924464487036
2026-09-04|《人民日报》谈“十五五”开局：内需、创新、民生与风险应形成闭环,《人民日报》谈“十五五”开局：内需、创新、民生与风险应形成闭环,2026-09-04,2026-09-04,2026-09-06,3,2.21,735,False,3.006802721088435
2026-07-04|《人民日报》讲【人民城市】：不能只看GDP和地标,《人民日报》讲【人民城市】：不能只看GDP和地标,2026-07-04,2026-07-04,2026-07-10,7,2.19,736,True,2.9755434782608696
2026-08-23|《人民日报》深度分析【健康优先】：不是卫生部门“单打独斗”,《人民日报》深度分析【健康优先】：不是卫生部门“单打独斗”,2026-08-23,2026-08-23,2026-08-29,7,2.17,317,True,6.8454258675078865
2023-03-30|2023国考省考面试热点05：高质量发展,2023国考省考面试热点05：高质量发展,2023-03-30,2023-03-30,2023-04-05,7,2.16,708,True,3.0508474576271185
2026-06-14|《人民日报》写透“清欠企业账款”：不仅仅是财务题,《人民日报》写透“清欠企业账款”：不仅仅是财务题,2026-06-14,2026-06-14,2026-06-20,7,2.16,604,True,3.576158940397351
2023-04-11|2023国考省考面试热点06：脱去孔乙己的长衫,2023国考省考面试热点06：脱去孔乙己的长衫,2023-04-11,2023-04-11,2023-04-17,7,2.15,519,True,4.142581888246628
2026-07-15|《人民日报》谈【AI 应用落地】：不是单选题,《人民日报》谈【AI 应用落地】：不是单选题,2026-07-15,2026-07-15,2026-07-21,7,2.14,1048,True,2.0419847328244276
2026-05-23|《人民日报》讲透申论高分写法：城市整理别再空喊“以人为本”,《人民日报》讲透申论高分写法：城市整理别再空喊“以人为本”,2026-05-23,2026-05-23,2026-05-29,7,2.13,919,True,2.317736670293798
2023-02-17|早上好！2023人民日报每日金句摘抄040,早上好！2023人民日报每日金句摘抄040,2023-02-17,2023-02-17,2023-02-23,7,2.1,422,True,4.976303317535545
2026-06-20|《人民日报》讲【资源循环】：不是回收旧物,《人民日报》讲【资源循环】：不是回收旧物,2026-06-20,2026-06-20,2026-06-26,7,1.96,748,True,2.620320855614973
2025-06-15|三十七岁记：中年人的清醒,三十七岁记：中年人的清醒,2025-06-15,2025-06-15,2025-06-20,6,1.91,177,True,10.790960451977401
2026-08-16|《人民日报》谈【制造业新模式】：不是只追求“大批量”,《人民日报》谈【制造业新模式】：不是只追求“大批量”,2026-08-16,2026-08-16,2026-08-22,7,1.9,507,True,3.747534516765286
2024-02-03|“新质生产力”是什么？,“新质生产力”是什么？,2024-02-03,2024-02-03,2024-02-09,5,1.83,79,True,23.164556962025316
2026-07-05|《人民日报》谈中国【品牌出海】：不是卖得更多,《人民日报》谈中国【品牌出海】：不是卖得更多,2026-07-05,2026-07-05,2026-07-11,7,1.82,615,True,2.959349593495935
2026-08-04|60｜《人民日报》谈【无障碍环境】：不是修一条坡道,60｜《人民日报》谈【无障碍环境】：不是修一条坡道,2026-08-04,2026-08-04,2026-08-10,7,1.8,783,True,2.2988505747126435
2023-02-13|早上好！2023人民日报金句摘抄036 | 公考必背、申论晨读素材、结构化面试热点,早上好！2023人民日报金句摘抄036 | 公考必背、申论晨读素材、结构化面试热点,2023-02-13,2023-02-13,2023-02-18,6,1.76,261,True,6.743295019157088
2026-08-28|《人民日报》深度分析【县域青年发展】：岗位与住房只是起点,《人民日报》深度分析【县域青年发展】：岗位与住房只是起点,2026-08-28,2026-08-28,2026-09-03,7,1.75,724,True,2.4171270718232045
"2026-08-24|公考热点：""中国机遇2.0""，不是喊""厉害了""","公考热点：""中国机遇2.0""，不是喊""厉害了""",2026-08-24,2026-08-24,2026-08-30,7,1.74,479,True,3.6325678496868474
2025-03-15|考前 2 小时自救指南｜行政执法类联考急救包，刷到就是赚到！,考前 2 小时自救指南｜行政执法类联考急救包，刷到就是赚到！,2025-03-15,2025-03-15,2025-03-20,5,1.72,387,True,4.444444444444445
2023-02-28|人民日报写“人民江山”，金句绝了，2023国考联考面试必背044！,人民日报写“人民江山”，金句绝了，2023国考联考面试必背044！,2023-02-28,2023-02-28,2023-03-06,7,1.67,464,True,3.5991379310344827
2023-03-21|2023国考省考面试热点03：大兴调查研究（节选整合版）,2023国考省考面试热点03：大兴调查研究（节选整合版）,2023-03-21,2023-03-21,2023-03-27,7,1.6,528,True,3.0303030303030303
2023-03-27|微信这个功能，我不允许你不知道,微信这个功能，我不允许你不知道,2023-03-27,2023-03-27,2023-04-02,7,1.57,219,True,7.168949771689498
2025-03-15|考前 2 小时自救指南｜乡镇卷联考急救包，刷到就是赚到！,考前 2 小时自救指南｜乡镇卷联考急救包，刷到就是赚到！,2025-03-15,2025-03-15,2025-03-18,3,1.47,730,True,2.0136986301369864
2023-03-29|2023国考省考面试热点04：大食物观,2023国考省考面试热点04：大食物观,2023-03-29,2023-03-29,2023-04-04,7,1.43,743,True,1.9246298788694483
2023-03-05|早上好！2023人民日报金句摘抄045| 公考必背、申论晨读素材、结构化面试热点,早上好！2023人民日报金句摘抄045| 公考必背、申论晨读素材、结构化面试热点,2023-03-05,2023-03-05,2023-03-11,7,1.39,334,True,4.161676646706587
2024-02-21|什么是“新质生产力”,什么是“新质生产力”,2024-02-21,2024-02-21,2024-02-27,7,1.33,138,True,9.63768115942029
2023-02-28|人民日报写“人民江山”，金句绝了,人民日报写“人民江山”，金句绝了,2023-02-28,2023-02-28,2023-03-06,7,1.3,230,True,5.6521739130434785
2023-02-15|早上好！2023人民日报每日金句摘抄038| 公考申论晨读素材、结构化面试热点,早上好！2023人民日报每日金句摘抄038| 公考申论晨读素材、结构化面试热点,2023-02-15,2023-02-15,2023-02-21,7,1.26,155,True,8.129032258064516
2024-02-22|【公考申论面试热点21】傅园慧之困,【公考申论面试热点21】傅园慧之困,2024-02-22,2024-02-22,2024-02-28,7,1.26,150,True,8.4
2026-06-21|《人民日报》讲【AI 时代教育】：不是人人学工具,《人民日报》讲【AI 时代教育】：不是人人学工具,2026-06-21,2026-06-21,2026-06-27,7,1.24,1075,True,1.1534883720930234
2023-02-21|2022年广西公务员考试申论A卷（自治区级、市级）真题参考答案,2022年广西公务员考试申论A卷（自治区级、市级）真题参考答案,2023-02-21,2023-02-21,2023-02-27,7,1.21,1059,True,1.1425873465533523
2024-01-09|人民日报励志金句：征途漫漫多风雨，敢于斗争永向前。,人民日报励志金句：征途漫漫多风雨，敢于斗争永向前。,2024-01-09,2024-01-09,2024-01-15,7,1.17,349,True,3.35243553008596
2023-02-19|早上好！2023人民日报金句摘抄042 | 公考必背、申论晨读素材、结构化面试热点,早上好！2023人民日报金句摘抄042 | 公考必背、申论晨读素材、结构化面试热点,2023-02-19,2023-02-19,2023-02-25,7,1.14,303,True,3.762376237623762
2025-02-01|我的 2024 和 2025 的我（2025 年规划篇）,我的 2024 和 2025 的我（2025 年规划篇）,2025-02-01,2025-02-01,2025-02-06,6,1.08,183,True,5.901639344262295
2026-06-01|【申论素材】中央一号文件怎么转成申论素材：农业农村现代化的六个关键词,【申论素材】中央一号文件怎么转成申论素材：农业农村现代化的六个关键词,2026-06-01,2026-06-01,2026-06-07,7,1.06,488,True,2.1721311475409837
2026-08-30|公考热点：两人买三座，争什么？,公考热点：两人买三座，争什么？,2026-08-30,2026-08-30,2026-09-05,7,1.04,681,True,1.5271659324522762
2023-02-16|早上好！2023人民日报每日金句摘抄039 | 公考申论晨读素材、结构化面试热点、高考语文金句,早上好！2023人民日报每日金句摘抄039 | 公考申论晨读素材、结构化面试热点、高考语文金句,2023-02-16,2023-02-16,2023-02-22,7,1.0,430,True,2.3255813953488373
2026-05-27|申论写公共服务，别只写“均等化”：《人民日报》给了四个动作,申论写公共服务，别只写“均等化”：《人民日报》给了四个动作,2026-05-27,2026-05-27,2026-06-02,7,1.0,416,True,2.4038461538461537
2025-02-06|如何做好孩子的情绪教养,如何做好孩子的情绪教养,2025-02-06,2025-02-06,2025-02-12,5,0.99,260,True,3.8076923076923075
2023-02-27|早上好！2023人民日报金句摘抄043| 公考必背、申论晨读素材、结构化面试热点,早上好！2023人民日报金句摘抄043| 公考必背、申论晨读素材、结构化面试热点,2023-02-27,2023-02-27,2023-03-05,6,0.97,357,True,2.7170868347338937
2025-01-27|我的 2024 和 2025 的我（2024 年回顾篇）,我的 2024 和 2025 的我（2024 年回顾篇）,2025-01-27,2025-01-27,2025-02-02,7,0.88,176,True,5.0
2023-03-02|2023年225公务员联考_广西A卷（自治区级、市级）大作文范文,2023年225公务员联考_广西A卷（自治区级、市级）大作文范文,2023-03-02,2023-03-02,2023-03-08,7,0.87,191,True,4.554973821989528
2026-01-10|# 我的2025和2026的我（回顾篇）,# 我的2025和2026的我（回顾篇）,2026-01-10,2026-01-10,2026-01-16,7,0.87,104,True,8.365384615384615
2024-01-01|我的2023和2024的我（2023年职业回顾）,我的2023和2024的我（2023年职业回顾）,2024-01-01,2024-01-01,2024-01-04,4,0.86,147,True,5.850340136054422
2026-05-09|这是我见过最好的申论能力解读,这是我见过最好的申论能力解读,2026-05-09,2026-05-09,2026-05-15,7,0.85,312,True,2.7243589743589745
2023-02-11|早上好！2023人民日报金句摘抄034 | 申论晨读素材、结构化面试热点、高考作文素材、公务员考试预测,早上好！2023人民日报金句摘抄034 | 申论晨读素材、结构化面试热点、高考作文素材、公务员考试预测,2023-02-11,2023-02-11,2023-02-16,6,0.8,78,True,10.256410256410257
2023-02-27|早上好！2023人民日报金句摘抄图片043,早上好！2023人民日报金句摘抄图片043,2023-02-27,2023-02-27,2023-03-04,5,0.8,110,True,7.2727272727272725
2026-06-29|官媒视角看【取消停车计费“向上取整”】：不是少收几块钱的事,官媒视角看【取消停车计费“向上取整”】：不是少收几块钱的事,2026-06-29,2026-06-29,2026-07-05,7,0.8,354,True,2.2598870056497176
2023-02-18|2023人民日报每日金句摘抄041文字版  | 公考申论晨读素材、结构化面试热点、高考语文金句,2023人民日报每日金句摘抄041文字版  | 公考申论晨读素材、结构化面试热点、高考语文金句,2023-02-18,2023-02-18,2023-02-24,7,0.75,179,True,4.189944134078212
2023-04-14|2023国考省考面试热点08：套娃式充会员,2023国考省考面试热点08：套娃式充会员,2023-04-14,2023-04-14,2023-04-20,6,0.71,250,True,2.84
2024-01-11|人民日报评论·正能量励志金句：不休则沟深，斧不止则薪多。,人民日报评论·正能量励志金句：不休则沟深，斧不止则薪多。,2024-01-11,2024-01-11,2024-01-17,7,0.71,253,True,2.8063241106719365
2026-06-09|我的公众号历史性时刻,我的公众号历史性时刻,2026-06-09,2026-06-10,2026-06-15,6,0.69,119,True,5.798319327731092
2026-01-08|《人民日报》热点评论08：过紧日子不是过苦日子（2026年国考面试热点）,《人民日报》热点评论08：过紧日子不是过苦日子（2026年国考面试热点）,2026-01-08,2026-01-08,2026-01-14,7,0.66,236,True,2.7966101694915255
