"日期","标题","作者","版面","文章ID","原文路径"
2026-04-08,"民生账本里的政绩观（评论员观察）","盛玉雷","评论",people_daily_20260408_30149792,"data/vault/2026/04/2026-04-08/05-评论/民生账本里的政绩观（评论员观察）.md"
2026-04-08,"树牢正确政绩观，莫把“事业”当“职业”（思想纵横）","汤  乐","理论",people_daily_20260408_30149817,"data/vault/2026/04/2026-04-08/09-理论/树牢正确政绩观，莫把“事业”当“职业”（思想纵横）.md"
2026-04-09,"莫把“痕迹”当“政绩”（思想纵横）","李永领","理论",people_daily_20260409_30150033,"data/vault/2026/04/2026-04-09/09-理论/莫把“痕迹”当“政绩”（思想纵横）.md"
2026-04-10,"聚焦主责主业  推动走深走实（树立和践行正确政绩观）","","要闻",people_daily_20260410_30150359,"data/vault/2026/04/2026-04-10/01-要闻/聚焦主责主业 推动走深走实（树立和践行正确政绩观）.md"
2026-04-10,"算好投入产出账，才能出好“最大政绩”（思想纵横）","罗来军","理论",people_daily_20260410_30150305,"data/vault/2026/04/2026-04-10/09-理论/算好投入产出账，才能出好“最大政绩”（思想纵横）.md"
2026-04-13,"公开通报四川省昭觉县、湖北省文化和旅游厅及湖北艺术职业学院政绩观存在偏差、不顾实际使用财政资金问题","","要闻",people_daily_20260413_30150684,"data/vault/2026/04/2026-04-13/04-要闻/公开通报四川省昭觉县、湖北省文化和旅游厅及湖北艺术职业学院政绩观存在偏差、不顾实际使用财政资金问题.md"
2026-04-13,"树牢正确政绩观须算好“三笔账”（思想纵横）","王宝智  彭清萍","理论",people_daily_20260413_30150723,"data/vault/2026/04/2026-04-13/09-理论/树牢正确政绩观须算好“三笔账”（思想纵横）.md"
2026-04-14,"修好政德才能出好政绩（思想纵横）","李  俭","理论",people_daily_20260414_30150966,"data/vault/2026/04/2026-04-14/09-理论/修好政德才能出好政绩（思想纵横）.md"
2026-04-14,"如此“创新”变了味（金台潮声·政绩观系列谈）","史一棋","党建",people_daily_20260414_30151027,"data/vault/2026/04/2026-04-14/19-党建/如此“创新”变了味（金台潮声·政绩观系列谈）.md"
2026-04-16,"着力纠正做“太平官”的错误政绩观（思想纵横）","李学敏","理论",people_daily_20260416_30151390,"data/vault/2026/04/2026-04-16/09-理论/着力纠正做“太平官”的错误政绩观（思想纵横）.md"
2026-04-16,"循法而行创造政绩（金台锐评）","倪  弋","法治",people_daily_20260416_30151515,"data/vault/2026/04/2026-04-16/19-法治/循法而行创造政绩（金台锐评）.md"
2026-04-17,"在“实”字上下功夫  一体推进学查改（树立和践行正确政绩观）","","要闻",people_daily_20260417_30151534,"data/vault/2026/04/2026-04-17/01-要闻/在“实”字上下功夫 一体推进学查改（树立和践行正确政绩观）.md"
2026-04-17,"从优秀传统文化中汲取正确政绩观的丰厚滋养（思想纵横）","杨  葵","理论",people_daily_20260417_30151597,"data/vault/2026/04/2026-04-17/09-理论/从优秀传统文化中汲取正确政绩观的丰厚滋养（思想纵横）.md"
2026-04-20,"查到问题根源上  改到群众心坎里（树立和践行正确政绩观）","","要闻",people_daily_20260420_30152024,"data/vault/2026/04/2026-04-20/01-要闻/查到问题根源上 改到群众心坎里（树立和践行正确政绩观）.md"
2026-04-20,"用好政绩考核指挥棒（思想纵横）","许振江","理论",people_daily_20260420_30152076,"data/vault/2026/04/2026-04-20/09-理论/用好政绩考核指挥棒（思想纵横）.md"
2026-04-21,"公开通报中国航空器材集团有限公司任宇、赵保辉等政绩观扭曲错位、欺瞒组织、侵害群众利益等问题","","要闻",people_daily_20260421_30152218,"data/vault/2026/04/2026-04-21/04-要闻/公开通报中国航空器材集团有限公司任宇、赵保辉等政绩观扭曲错位、欺瞒组织、侵害群众利益等问题.md"
2026-04-21,"匡正“数字出官”错误政绩观（思想纵横）","韩骏升","理论",people_daily_20260421_30152253,"data/vault/2026/04/2026-04-21/09-理论/匡正“数字出官”错误政绩观（思想纵横）.md"
2026-04-21,"“过度请示”，该纠偏了（金台潮声·政绩观系列谈）","李林蔚","党建",people_daily_20260421_30152375,"data/vault/2026/04/2026-04-21/19-党建/“过度请示”，该纠偏了（金台潮声·政绩观系列谈）.md"
2026-04-22,"树牢正确政绩观，从走好第一步开始（思想纵横）","关  山","理论",people_daily_20260422_30152585,"data/vault/2026/04/2026-04-22/09-理论/树牢正确政绩观，从走好第一步开始（思想纵横）.md"
2026-04-23,"用好正反两方面典型校正政绩观（思想纵横）","李永进","理论",people_daily_20260423_30152696,"data/vault/2026/04/2026-04-23/09-理论/用好正反两方面典型校正政绩观（思想纵横）.md"
2026-04-24,"实干担当  推动学习教育成果转化（树立和践行正确政绩观）","","要闻",people_daily_20260424_30152802,"data/vault/2026/04/2026-04-24/01-要闻/实干担当 推动学习教育成果转化（树立和践行正确政绩观）.md"
2026-04-24,"正确理解“为官不易”  树牢正确政绩观（思想纵横）","魏  强","理论",people_daily_20260424_30152866,"data/vault/2026/04/2026-04-24/09-理论/正确理解“为官不易” 树牢正确政绩观（思想纵横）.md"
2026-04-26,"“实”字当头  “干”字为要（树立和践行正确政绩观）","","要闻",people_daily_20260426_30153119,"data/vault/2026/04/2026-04-26/01-要闻/“实”字当头 “干”字为要（树立和践行正确政绩观）.md"
2026-04-28,"考实真政绩  画准实干人（人民时评）","孟祥夫","评论",people_daily_20260428_30153667,"data/vault/2026/04/2026-04-28/05-评论/考实真政绩 画准实干人（人民时评）.md"
2026-04-28,"树立正确政绩观须明“公私之辨”（思想纵横）","尹  钧","理论",people_daily_20260428_30153600,"data/vault/2026/04/2026-04-28/09-理论/树立正确政绩观须明“公私之辨”（思想纵横）.md"
2026-04-28,"少些“临时抱佛脚”（金台潮声·政绩观系列谈）","何昭宇","党建",people_daily_20260428_30153708,"data/vault/2026/04/2026-04-28/19-党建/少些“临时抱佛脚”（金台潮声·政绩观系列谈）.md"
2026-04-29,"学以致用求实效  动真碰硬解难题（树立和践行正确政绩观）","","要闻",people_daily_20260429_30153794,"data/vault/2026/04/2026-04-29/01-要闻/学以致用求实效 动真碰硬解难题（树立和践行正确政绩观）.md"
2026-04-29,"带着感情做工作才能出真政绩（思想纵横）","储  勇","理论",people_daily_20260429_30153875,"data/vault/2026/04/2026-04-29/09-理论/带着感情做工作才能出真政绩（思想纵横）.md"
2026-04-30,"善于“钉钉子”  创造好政绩（思想纵横）","万立超","理论",people_daily_20260430_30154243,"data/vault/2026/04/2026-04-30/09-理论/善于“钉钉子” 创造好政绩（思想纵横）.md"
2026-05-06,"直面问题抓整改  开门教育促实效（树立和践行正确政绩观）","","要闻",people_daily_20260506_30155009,"data/vault/2026/05/2026-05-06/01-要闻/直面问题抓整改 开门教育促实效（树立和践行正确政绩观）.md"
2026-05-06,"践行正确政绩观，不能“穿新鞋走老路”（思想纵横）","王钰涵","理论",people_daily_20260506_30154957,"data/vault/2026/05/2026-05-06/09-理论/践行正确政绩观，不能“穿新鞋走老路”（思想纵横）.md"
2026-05-07,"善于“瞻前顾后”  为民创造政绩（思想纵横）","蓝汉林","理论",people_daily_20260507_30155237,"data/vault/2026/05/2026-05-07/09-理论/善于“瞻前顾后” 为民创造政绩（思想纵横）.md"
2026-05-09,"用心用情用力解决群众急难愁盼问题（树立和践行正确政绩观）","","要闻",people_daily_20260509_30155670,"data/vault/2026/05/2026-05-09/01-要闻/用心用情用力解决群众急难愁盼问题（树立和践行正确政绩观）.md"
2026-05-10,"树立和践行正确政绩观  建设德才兼备的高素质政法队伍","","要闻",people_daily_20260510_30155807,"data/vault/2026/05/2026-05-10/02-要闻/树立和践行正确政绩观 建设德才兼备的高素质政法队伍.md"
2026-05-12,"把“实”字贯穿树立和践行正确政绩观全程（思想纵横）","李晓寒","理论",people_daily_20260512_30156305,"data/vault/2026/05/2026-05-12/09-理论/把“实”字贯穿树立和践行正确政绩观全程（思想纵横）.md"
2026-05-13,"在“向上看看”和“向下看看”中树牢正确政绩观（思想纵横）","徐晓明","理论",people_daily_20260513_30156555,"data/vault/2026/05/2026-05-13/09-理论/在“向上看看”和“向下看看”中树牢正确政绩观（思想纵横）.md"
2026-05-14,"一体推进整治形式主义为基层减负（树立和践行正确政绩观）","","要闻",people_daily_20260514_30156795,"data/vault/2026/05/2026-05-14/01-要闻/一体推进整治形式主义为基层减负（树立和践行正确政绩观）.md"
2026-05-14,"“主心骨”是正确政绩观的鲜明注脚（思想纵横）","陈和香","理论",people_daily_20260514_30156848,"data/vault/2026/05/2026-05-14/09-理论/“主心骨”是正确政绩观的鲜明注脚（思想纵横）.md"
2026-05-16,"深学笃行习近平总书记关于树立和践行正确政绩观的重要论述","","要闻",people_daily_20260516_30157131,"data/vault/2026/05/2026-05-16/03-要闻/深学笃行习近平总书记关于树立和践行正确政绩观的重要论述.md"
2026-05-18,"聚焦主业，不追短期“数字政绩”（干部状态新观察·为基层减负赋能）","王云娜","政治",people_daily_20260518_30157411,"data/vault/2026/05/2026-05-18/11-政治/聚焦主业，不追短期“数字政绩”（干部状态新观察·为基层减负赋能）.md"
2026-05-18,"树立和践行正确政绩观  勇担保障我国水安全战略使命","中共中国南水北调集团有限公司党组","生态",people_daily_20260518_30157422,"data/vault/2026/05/2026-05-18/13-生态/树立和践行正确政绩观 勇担保障我国水安全战略使命.md"
2026-05-19,"立起考核“指挥棒”（金台潮声·政绩观系列谈）","赵  成","党建",people_daily_20260519_30157773,"data/vault/2026/05/2026-05-19/19-党建/立起考核“指挥棒”（金台潮声·政绩观系列谈）.md"
2026-05-20,"新时代共产党人干事业、创政绩的科学指南（深入学习贯彻习近平新时代中国特色社会主义思想）","谢春涛","理论",people_daily_20260520_30157847,"data/vault/2026/05/2026-05-20/09-理论/新时代共产党人干事业、创政绩的科学指南（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-05-21,"政绩观问题是一个根本性问题（深入学习贯彻习近平新时代中国特色社会主义思想）","金民卿","理论",people_daily_20260521_30158101,"data/vault/2026/05/2026-05-21/09-理论/政绩观问题是一个根本性问题（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-05-22,"完善制度机制  更好造福于民（树立和践行正确政绩观）","","要闻",people_daily_20260522_30158427,"data/vault/2026/05/2026-05-22/04-要闻/完善制度机制 更好造福于民（树立和践行正确政绩观）.md"
2026-05-22,"树立和践行正确政绩观，起决定性作用的是党性（深入学习贯彻习近平新时代中国特色社会主义思想）","沈传宝","理论",people_daily_20260522_30158460,"data/vault/2026/05/2026-05-22/09-理论/树立和践行正确政绩观，起决定性作用的是党性（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-05-24,"在真查实改上下功夫（树立和践行正确政绩观）","","要闻",people_daily_20260524_30158697,"data/vault/2026/05/2026-05-24/01-要闻/在真查实改上下功夫（树立和践行正确政绩观）.md"
2026-05-25,"为民造福是最大政绩（深入学习贯彻习近平新时代中国特色社会主义思想）","黄一兵","理论",people_daily_20260525_30158846,"data/vault/2026/05/2026-05-25/09-理论/为民造福是最大政绩（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-05-26,"坚持高质量发展要成为领导干部政绩观的重要内容（深入学习贯彻习近平新时代中国特色社会主义思想）","宋友文","理论",people_daily_20260526_30159087,"data/vault/2026/05/2026-05-26/09-理论/坚持高质量发展要成为领导干部政绩观的重要内容（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-05-26,"担责是道“必答题”（金台潮声·政绩观系列谈）","孟祥夫","党建",people_daily_20260526_30159140,"data/vault/2026/05/2026-05-26/19-党建/担责是道“必答题”（金台潮声·政绩观系列谈）.md"
2026-05-28,"用好指挥棒  校准政绩观（微观）","刘  青","评论",people_daily_20260528_30159603,"data/vault/2026/05/2026-05-28/05-评论/用好指挥棒 校准政绩观（微观）.md"
2026-05-28,"完善政绩考核评价体系  用好考核指挥棒（深入学习贯彻习近平新时代中国特色社会主义思想）","陈家喜","理论",people_daily_20260528_30159508,"data/vault/2026/05/2026-05-28/09-理论/完善政绩考核评价体系 用好考核指挥棒（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-05-29,"作风过硬，政绩实在（人民论坛）","","第004版",people_daily_20260529_30159874,""
2026-05-29,"练就宽肩膀，磨砺真本领（大家谈·树立和践行正确政绩观⑤）","","第005版",people_daily_20260529_30159848,""
2026-06-01,"坚持“当下改”与“长久立”相结合（树立和践行正确政绩观）","","要闻",people_daily_20260601_30160068,"data/vault/2026/06/2026-06-01/01-要闻/坚持“当下改”与“长久立”相结合（树立和践行正确政绩观）.md"
2026-06-02,"以正确政绩观为政干事做人  做杨善洲那样人民满意的好党员好干部","王  宁","政治",people_daily_20260602_30160397,"data/vault/2026/06/2026-06-02/10-政治/以正确政绩观为政干事做人 做杨善洲那样人民满意的好党员好干部.md"
2026-06-02,"理旧账也是建新功（金台潮声·政绩观系列谈）","李林蔚","党建",people_daily_20260602_30160444,"data/vault/2026/06/2026-06-02/19-党建/理旧账也是建新功（金台潮声·政绩观系列谈）.md"
2026-06-04,"交通更顺畅   出行更舒心（树立和践行正确政绩观·一线见闻）","李  蕊","要闻",people_daily_20260604_30160929,"data/vault/2026/06/2026-06-04/01-要闻/交通更顺畅 出行更舒心（树立和践行正确政绩观·一线见闻）.md"
2026-06-05,"今日右玉绿生金（树立和践行正确政绩观·一线见闻）","周人杰  刘鑫焱  郑洋洋","要闻",people_daily_20260605_30161062,"data/vault/2026/06/2026-06-05/01-要闻/今日右玉绿生金（树立和践行正确政绩观·一线见闻）.md"
2026-06-05,"政绩好不好，要看群众口碑（思想纵横）","宋凌云  潘信林","理论",people_daily_20260605_30161143,"data/vault/2026/06/2026-06-05/09-理论/政绩好不好，要看群众口碑（思想纵横）.md"
2026-06-07,"“看不见”的古城改造 “看得见”的民生福祉（树立和践行正确政绩观·一线见闻）","姚雪青","要闻",people_daily_20260607_30161508,"data/vault/2026/06/2026-06-07/01-要闻/“看不见”的古城改造 “看得见”的民生福祉（树立和践行正确政绩观·一线见闻）.md"
2026-06-08,"“彩云人家”升级记（树立和践行正确政绩观·一线见闻）","张  铁  贾丰丰","要闻",people_daily_20260608_30161730,"data/vault/2026/06/2026-06-08/01-要闻/“彩云人家”升级记（树立和践行正确政绩观·一线见闻）.md"
2026-06-10,"以正确政绩观纠治文牍主义（思想纵横）","周苾媛  聂平平","理论",people_daily_20260610_30162205,"data/vault/2026/06/2026-06-10/09-理论/以正确政绩观纠治文牍主义（思想纵横）.md"
2026-06-11,"树立和践行正确政绩观学习教育继续派出的4个中央指导组完成进驻","","要闻",people_daily_20260611_30162412,"data/vault/2026/06/2026-06-11/01-要闻/树立和践行正确政绩观学习教育继续派出的4个中央指导组完成进驻.md"
2026-06-11,"牢固树立和践行正确政绩观  推进新征程纪检监察工作高质量发展","","要闻",people_daily_20260611_30162411,"data/vault/2026/06/2026-06-11/01-要闻/牢固树立和践行正确政绩观 推进新征程纪检监察工作高质量发展.md"
2026-06-12,"理旧账  见真章（树立和践行正确政绩观）","","要闻",people_daily_20260612_30162628,"data/vault/2026/06/2026-06-12/01-要闻/理旧账 见真章（树立和践行正确政绩观）.md"
2026-06-12,"以正确政绩观推动生态文明建设实践（深入学习贯彻习近平新时代中国特色社会主义思想）","黄承梁","理论",people_daily_20260612_30162683,"data/vault/2026/06/2026-06-12/09-理论/以正确政绩观推动生态文明建设实践（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-06-12,"拔除形式主义政绩观的“病根”（思想纵横）","欧阳锡龙","理论",people_daily_20260612_30162685,"data/vault/2026/06/2026-06-12/09-理论/拔除形式主义政绩观的“病根”（思想纵横）.md"
2026-06-15,"让群众看见变化、得到实惠（树立和践行正确政绩观）","","要闻",people_daily_20260615_30163053,"data/vault/2026/06/2026-06-15/01-要闻/让群众看见变化、得到实惠（树立和践行正确政绩观）.md"
2026-06-16,"公开通报5起政绩观偏差典型案件","","要闻",people_daily_20260616_30163289,"data/vault/2026/06/2026-06-16/04-要闻/公开通报5起政绩观偏差典型案件.md"
2026-06-16,"决策责任沉甸甸（金台潮声·政绩观系列谈）","史一棋","党建",people_daily_20260616_30163226,"data/vault/2026/06/2026-06-16/18-党建/决策责任沉甸甸（金台潮声·政绩观系列谈）.md"
2026-06-22,"把政绩刻在群众心坎上（树立和践行正确政绩观）","","要闻",people_daily_20260622_30164187,"data/vault/2026/06/2026-06-22/01-要闻/把政绩刻在群众心坎上（树立和践行正确政绩观）.md"
